hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct
H0076,Dr. HCP_0076,Neurologist,C,South-1,South,68,2682,6.8,10,5,32,132,19.03,5,2026-03-15,2.13,16,0,875,871,0.46
H0077,Dr. HCP_0077,Cardiologist,C,North-1,North,62,2417,6.2,10,5,47,184,21.28,5,2026-03-31,1.32,0,0,673,656,2.59
H0078,Dr. HCP_0078,General Physician,A,East-2,East,70,3236,7.0,10,5,6,19,21.33,3,2025-12-20,11.67,101,0,987,1022,-3.42
H0079,Dr. HCP_0079,Neurologist,B,West-1,West,71,3023,7.1,10,5,18,66,20.89,5,2026-02-24,3.94,35,0,766,720,6.39
H0080,Dr. HCP_0080,Neurologist,A,West-1,West,23,760,2.3,8,3,3,8,20.67,3,2026-03-08,7.67,23,0,307,60,411.67
H0081,Dr. HCP_0081,Cardiologist,C,East-1,East,4,163,0.4,4,1,0,0,0.0,0,,,304,1,77,86,-10.47
H0082,Dr. HCP_0082,Neurologist,B,North-1,North,178,7117,17.8,10,5,35,120,21.29,5,2026-03-15,5.09,16,0,2193,2203,-0.45
H0083,Dr. HCP_0083,Oncologist,B,East-2,East,21,830,2.1,9,5,11,57,22.18,4,2026-03-29,1.91,2,0,238,238,0.0
H0084,Dr. HCP_0084,Neurologist,A,East-2,East,36,1436,3.6,10,5,6,21,22.17,5,2026-03-29,6.0,2,0,421,448,-6.03
H0085,Dr. HCP_0085,General Physician,B,North-2,North,154,6594,15.4,10,5,32,136,19.97,5,2026-03-31,4.81,0,0,1936,2433,-20.43
H0086,Dr. HCP_0086,Pulmonologist,B,Central-1,Central,145,5604,14.5,10,5,37,148,21.41,5,2026-03-31,3.92,0,0,1509,1844,-18.17
H0087,Dr. HCP_0087,Oncologist,C,East-2,East,20,805,2.0,9,4,12,41,24.33,5,2026-03-21,1.67,10,0,129,228,-43.42
H0088,Dr. HCP_0088,Endocrinologist,B,Central-1,Central,49,2071,4.9,10,5,25,108,19.96,5,2026-03-25,1.96,6,0,490,761,-35.61
H0089,Dr. HCP_0089,General Physician,C,West-1,West,37,1527,3.7,10,5,17,69,21.53,5,2026-03-22,2.18,9,0,625,295,111.86
H0090,Dr. HCP_0090,Neurologist,B,South-1,South,68,2663,6.8,10,5,19,66,19.21,5,2026-03-24,3.58,7,0,790,725,8.97
H0091,Dr. HCP_0091,Neurologist,A,West-1,West,38,1603,3.8,10,5,7,29,15.29,5,2026-03-19,5.43,12,0,628,283,121.91
H0092,Dr. HCP_0092,Pulmonologist,C,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,
H0093,Dr. HCP_0093,Neurologist,C,West-1,West,21,890,2.1,8,5,14,44,17.64,4,2026-03-30,1.5,1,0,281,189,48.68
H0094,Dr. HCP_0094,Oncologist,B,West-2,West,29,1149,2.9,10,4,9,44,21.44,3,2026-03-19,3.22,12,0,272,342,-20.47
H0095,Dr. HCP_0095,Neurologist,C,South-2,South,95,3805,9.5,10,5,64,241,19.59,5,2026-03-23,1.48,8,0,1093,1091,0.18
H0096,Dr. HCP_0096,General Physician,B,South-1,South,176,7002,17.6,10,5,30,134,20.93,5,2026-03-10,5.87,21,0,2128,1953,8.96
H0097,Dr. HCP_0097,Neurologist,B,East-1,East,9,374,0.9,6,2,0,0,0.0,0,,,304,1,225,25,800.0
H0098,Dr. HCP_0098,Endocrinologist,B,North-2,North,130,4845,13.0,10,5,38,131,20.74,5,2026-03-29,3.42,2,0,1239,1390,-10.86
H0099,Dr. HCP_0099,Endocrinologist,A,South-2,South,170,7095,17.0,10,5,19,64,21.63,5,2026-03-30,8.95,1,0,2315,2325,-0.43
H0100,Dr. HCP_0100,Cardiologist,A,North-1,North,116,4378,11.6,10,5,13,40,18.46,5,2026-03-20,8.92,11,0,1436,1424,0.84
H0101,Dr. HCP_0101,Neurologist,A,West-2,West,39,1651,3.9,10,5,6,25,28.33,4,2026-03-02,6.5,29,0,363,474,-23.42
H0102,Dr. HCP_0102,Oncologist,B,West-2,West,70,2607,7.0,10,5,15,55,21.0,5,2026-03-09,4.67,22,0,1097,670,63.73
H0103,Dr. HCP_0103,Oncologist,B,West-1,West,60,2360,6.0,9,5,13,59,12.85,5,2026-03-25,4.62,6,0,555,588,-5.61
H0104,Dr. HCP_0104,Endocrinologist,B,South-2,South,96,3755,9.6,10,5,33,112,20.24,5,2026-03-01,2.91,30,0,1108,1331,-16.75
H0105,Dr. HCP_0105,Oncologist,C,North-2,North,76,3008,7.6,10,5,52,213,20.62,5,2026-03-31,1.46,0,0,1055,843,25.15
H0106,Dr. HCP_0106,General Physician,B,South-1,South,60,2131,6.0,10,5,25,97,20.96,5,2026-03-13,2.4,18,0,685,593,15.51
H0107,Dr. HCP_0107,Neurologist,B,North-1,North,149,5940,14.9,10,5,39,142,19.15,5,2026-03-24,3.82,7,0,1770,1472,20.24
H0108,Dr. HCP_0108,Oncologist,C,North-2,North,78,3154,7.8,10,5,44,178,20.64,5,2026-03-19,1.77,12,0,1073,890,20.56
H0109,Dr. HCP_0109,General Physician,B,West-2,West,53,1979,5.3,9,5,13,58,19.92,5,2026-03-27,4.08,4,0,638,500,27.6
H0110,Dr. HCP_0110,Neurologist,A,West-2,West,46,1650,4.6,10,5,9,34,19.78,5,2026-03-11,5.11,20,0,609,326,86.81
H0111,Dr. HCP_0111,Oncologist,B,Central-1,Central,77,3295,7.7,10,5,31,113,20.19,5,2026-02-25,2.48,34,0,1163,652,78.37
H0112,Dr. HCP_0112,Oncologist,A,West-2,West,82,3449,8.2,10,5,10,35,22.8,5,2025-12-18,8.2,103,0,951,1044,-8.91
H0113,Dr. HCP_0113,General Physician,C,South-2,South,93,3594,9.3,10,5,81,321,21.09,5,2026-03-29,1.15,2,0,859,1371,-37.35
H0114,Dr. HCP_0114,Oncologist,C,Central-1,Central,106,4037,10.6,10,5,51,200,19.04,5,2026-03-27,2.08,4,0,1373,1114,23.25
H0115,Dr. HCP_0115,Oncologist,B,East-1,East,3,77,0.3,3,1,0,0,0.0,0,,,304,1,0,54,-100.0
H0116,Dr. HCP_0116,Endocrinologist,C,East-1,East,4,140,0.4,4,1,0,0,0.0,0,,,304,1,25,43,-41.86
H0117,Dr. HCP_0117,Pulmonologist,C,East-2,East,25,1071,2.5,10,4,17,65,20.24,5,2026-03-25,1.47,6,0,475,301,57.81
H0118,Dr. HCP_0118,Endocrinologist,A,South-1,South,70,2448,7.0,10,5,12,37,20.42,4,2026-02-19,5.83,40,0,627,923,-32.07
H0119,Dr. HCP_0119,General Physician,C,West-1,West,35,1351,3.5,10,5,22,96,18.86,5,2026-03-10,1.59,21,0,365,588,-37.93
H0120,Dr. HCP_0120,Cardiologist,B,South-2,South,239,9324,23.9,10,5,50,211,22.88,5,2026-03-13,4.78,18,0,3018,2850,5.89
H0121,Dr. HCP_0121,Pulmonologist,C,West-1,West,41,1680,4.1,10,5,27,111,21.59,5,2026-03-16,1.52,15,0,284,909,-68.76
H0122,Dr. HCP_0122,Cardiologist,C,West-1,West,24,854,2.4,9,5,15,75,18.33,5,2026-03-27,1.6,4,0,292,266,9.77
H0123,Dr. HCP_0123,Oncologist,B,West-1,West,48,1852,4.8,10,5,12,43,14.0,5,2026-03-27,4.0,4,0,638,469,36.03
H0124,Dr. HCP_0124,Oncologist,A,Central-2,Central,20,814,2.0,9,3,2,10,22.0,2,2026-03-04,10.0,27,0,228,321,-28.97
H0125,Dr. HCP_0125,Pulmonologist,B,North-1,North,90,3364,9.0,10,5,30,115,19.1,5,2026-03-19,3.0,12,0,1138,1270,-10.39
H0126,Dr. HCP_0126,Oncologist,B,West-1,West,48,2052,4.8,10,5,17,69,20.29,5,2026-02-27,2.82,32,0,474,818,-42.05
H0127,Dr. HCP_0127,Endocrinologist,C,West-2,West,48,1824,4.8,10,5,19,97,19.47,5,2026-03-16,2.53,15,0,429,737,-41.79
H0128,Dr. HCP_0128,Oncologist,C,West-1,West,42,1541,4.2,10,5,24,90,19.33,5,2026-03-22,1.75,9,0,418,328,27.44
H0129,Dr. HCP_0129,Pulmonologist,A,West-1,West,55,2341,5.5,10,5,7,34,21.14,3,2026-03-07,7.86,24,0,551,696,-20.83
H0130,Dr. HCP_0130,Oncologist,B,South-1,South,135,5467,13.5,10,5,33,128,23.03,5,2026-03-26,4.09,5,0,1427,1972,-27.64
H0131,Dr. HCP_0131,Neurologist,B,Central-2,Central,32,1364,3.2,9,5,10,47,16.9,5,2026-03-05,3.2,26,0,418,299,39.8
H0132,Dr. HCP_0132,Neurologist,B,West-1,West,62,2432,6.2,10,4,11,53,18.73,5,2026-03-17,5.64,14,0,864,617,40.03
H0133,Dr. HCP_0133,General Physician,A,North-2,North,251,9731,25.1,10,5,28,110,19.36,5,2026-03-24,8.96,7,0,2826,3450,-18.09
H0134,Dr. HCP_0134,Oncologist,B,South-1,South,49,1906,4.9,9,5,24,102,19.83,5,2026-03-28,2.04,3,0,608,688,-11.63
H0135,Dr. HCP_0135,Pulmonologist,C,North-1,North,120,4850,12.0,10,5,52,220,19.15,5,2026-03-19,2.31,12,0,1419,1404,1.07
H0136,Dr. HCP_0136,Endocrinologist,B,East-2,East,20,836,2.0,8,5,8,19,26.13,4,2026-01-25,2.5,65,0,186,188,-1.06
H0137,Dr. HCP_0137,Pulmonologist,B,East-2,East,40,1446,4.0,10,5,13,51,18.38,4,2026-03-08,3.08,23,0,518,523,-0.96
H0138,Dr. HCP_0138,Oncologist,C,East-1,East,7,266,0.7,5,2,0,0,0.0,0,,,304,1,33,167,-80.24
H0139,Dr. HCP_0139,Oncologist,B,North-2,North,98,4246,9.8,10,5,34,147,19.38,5,2026-03-16,2.88,15,0,1045,1612,-35.17
H0140,Dr. HCP_0140,Cardiologist,C,Central-1,Central,81,3091,8.1,10,5,63,275,18.14,5,2026-03-30,1.29,1,0,1010,756,33.6
H0141,Dr. HCP_0141,General Physician,C,South-2,South,77,2840,7.7,10,5,61,269,18.48,5,2026-03-29,1.26,2,0,880,786,11.96
H0142,Dr. HCP_0142,Cardiologist,B,North-1,North,109,4337,10.9,10,5,32,134,19.72,5,2026-03-24,3.41,7,0,1243,1256,-1.04
H0143,Dr. HCP_0143,Cardiologist,B,South-2,South,242,9862,24.2,10,5,58,245,18.43,5,2026-03-27,4.17,4,0,3372,2833,19.03
H0144,Dr. HCP_0144,Endocrinologist,B,South-2,South,246,9238,24.6,10,5,72,302,20.76,5,2026-03-27,3.42,4,0,3033,2796,8.48
H0145,Dr. HCP_0145,Neurologist,B,North-2,North,175,6960,17.5,10,5,33,117,18.15,5,2026-03-23,5.3,8,0,2115,2200,-3.86
H0146,Dr. HCP_0146,General Physician,A,West-2,West,53,2334,5.3,10,4,8,30,21.88,3,2026-03-07,6.63,24,0,819,743,10.23
H0147,Dr. HCP_0147,Endocrinologist,B,East-2,East,50,1875,5.0,10,4,11,46,23.18,4,2026-03-15,4.55,16,0,567,399,42.11
H0148,Dr. HCP_0148,Pulmonologist,B,South-1,South,140,5264,14.0,10,5,33,132,21.97,5,2026-03-18,4.24,13,0,1268,1785,-28.96
H0149,Dr. HCP_0149,Cardiologist,A,Central-2,Central,20,812,2.0,8,3,3,13,20.33,3,2026-01-26,6.67,64,0,241,294,-18.03
H0150,Dr. HCP_0150,General Physician,B,Central-2,Central,40,1664,4.0,10,4,7,18,21.0,4,2026-03-26,5.71,5,0,419,602,-30.4
H0151,Dr. HCP_0151,General Physician,C,West-1,West,28,1132,2.8,10,4,14,46,20.43,5,2026-03-19,2.0,12,0,429,327,31.19
H0152,Dr. HCP_0152,Neurologist,B,North-2,North,117,5108,11.7,10,5,36,124,20.36,5,2026-03-27,3.25,4,0,1538,1454,5.78
H0153,Dr. HCP_0153,General Physician,A,North-2,North,130,4822,13.0,10,5,17,46,20.06,5,2026-03-24,7.65,7,0,1507,1165,29.36
H0154,Dr. HCP_0154,Cardiologist,B,Central-2,Central,49,2095,4.9,10,5,15,62,20.13,5,2026-03-30,3.27,1,0,556,589,-5.6
H0155,Dr. HCP_0155,Neurologist,C,East-2,East,25,1055,2.5,10,5,18,83,21.89,5,2026-03-31,1.39,0,0,289,310,-6.77
H0156,Dr. HCP_0156,Cardiologist,B,East-2,East,58,2471,5.8,10,5,15,54,19.13,5,2026-03-03,3.87,28,0,624,1028,-39.3
H0157,Dr. HCP_0157,Oncologist,B,North-1,North,73,3063,7.3,10,5,23,100,18.39,5,2026-03-18,3.17,13,0,829,851,-2.59
H0158,Dr. HCP_0158,Oncologist,C,North-2,North,106,4285,10.6,10,5,63,213,21.86,5,2026-03-30,1.68,1,0,1308,1353,-3.33
H0159,Dr. HCP_0159,General Physician,B,West-2,West,32,1259,3.2,9,5,13,40,24.62,5,2026-03-04,2.46,27,0,293,181,61.88
H0160,Dr. HCP_0160,Endocrinologist,C,West-1,West,30,1128,3.0,10,5,29,128,21.97,5,2026-03-23,1.03,8,0,281,454,-38.11
H0161,Dr. HCP_0161,Neurologist,B,Central-2,Central,40,1546,4.0,10,5,14,67,22.14,5,2026-03-22,2.86,9,0,542,401,35.16
H0162,Dr. HCP_0162,Oncologist,B,West-2,West,48,1716,4.8,10,5,13,37,22.23,5,2026-03-06,3.69,25,0,584,454,28.63
H0163,Dr. HCP_0163,Endocrinologist,B,East-2,East,51,2242,5.1,10,5,10,49,18.8,5,2026-03-10,5.1,21,0,670,530,26.42
H0164,Dr. HCP_0164,Oncologist,B,East-1,East,4,168,0.4,4,1,0,0,0.0,0,,,304,1,39,76,-48.68
H0165,Dr. HCP_0165,Neurologist,A,West-2,West,34,1297,3.4,10,4,2,8,30.0,2,2025-08-05,17.0,238,0,485,202,140.1
H0166,Dr. HCP_0166,Cardiologist,C,East-2,East,24,998,2.4,7,5,14,55,19.93,5,2026-03-31,1.71,0,0,256,156,64.1
H0167,Dr. HCP_0167,Endocrinologist,B,East-2,East,23,1073,2.3,8,4,9,29,22.67,4,2026-03-25,2.56,6,0,140,301,-53.49
H0168,Dr. HCP_0168,Pulmonologist,A,South-2,South,140,5574,14.0,10,5,21,75,22.71,5,2026-03-27,6.67,4,0,1632,1789,-8.78
H0169,Dr. HCP_0169,Pulmonologist,A,East-2,East,73,3193,7.3,10,4,8,41,21.75,4,2026-03-27,9.13,4,0,1435,780,83.97
H0170,Dr. HCP_0170,Cardiologist,B,Central-1,Central,106,4141,10.6,10,5,29,126,21.21,5,2026-03-11,3.66,20,0,1128,1366,-17.42
H0171,Dr. HCP_0171,Endocrinologist,B,North-2,North,142,5649,14.2,10,5,37,158,21.76,5,2026-03-31,3.84,0,0,1736,1652,5.08
H0172,Dr. HCP_0172,Neurologist,A,West-2,West,48,2011,4.8,10,3,3,11,17.33,2,2025-12-25,16.0,96,0,621,529,17.39
H0173,Dr. HCP_0173,General Physician,B,West-2,West,72,2912,7.2,10,5,19,87,17.37,5,2026-03-28,3.79,3,0,1218,639,90.61
H0174,Dr. HCP_0174,Cardiologist,B,West-2,West,52,2213,5.2,10,5,16,66,21.06,5,2026-03-25,3.25,6,0,738,607,21.58
H0175,Dr. HCP_0175,Endocrinologist,B,East-1,East,4,152,0.4,4,2,0,0,0.0,0,,,304,1,26,72,-63.89
H0176,Dr. HCP_0176,Pulmonologist,A,South-2,South,218,7683,21.8,10,5,31,132,19.16,5,2026-03-29,7.03,2,0,2718,1819,49.42
H0177,Dr. HCP_0177,Neurologist,B,West-2,West,52,2182,5.2,10,4,10,32,15.2,4,2026-03-07,5.2,24,0,789,581,35.8
H0178,Dr. HCP_0178,General Physician,B,West-1,West,22,777,2.2,9,4,8,33,20.0,4,2026-03-21,2.75,10,0,154,174,-11.49
H0179,Dr. HCP_0179,General Physician,C,East-2,East,16,633,1.6,9,4,12,50,19.58,4,2026-02-10,1.33,49,0,165,216,-23.61
H0180,Dr. HCP_0180,Pulmonologist,A,East-1,East,2,75,0.2,2,1,0,0,0.0,0,,,304,1,26,0,
