monthly_prescription_id,hcp_id,product_id,rx_month,source_record_count,rx_count,units_dispensed,average_units_per_prescription
H0002_P001_202602,H0002,P001,2026-02-01,1,4,212,53.0
H0002_P001_202603,H0002,P001,2026-03-01,1,4,92,23.0
H0002_P002_202509,H0002,P002,2025-09-01,1,1,57,57.0
H0002_P002_202510,H0002,P002,2025-10-01,1,4,164,41.0
H0002_P002_202511,H0002,P002,2025-11-01,1,1,49,49.0
H0002_P002_202512,H0002,P002,2025-12-01,1,2,106,53.0
H0002_P002_202602,H0002,P002,2026-02-01,1,3,105,35.0
H0002_P002_202603,H0002,P002,2026-03-01,1,1,27,27.0
H0002_P003_202506,H0002,P003,2025-06-01,1,1,56,56.0
H0002_P003_202511,H0002,P003,2025-11-01,1,1,28,28.0
H0002_P003_202512,H0002,P003,2025-12-01,1,1,30,30.0
H0002_P003_202601,H0002,P003,2026-01-01,1,2,70,35.0
H0002_P003_202602,H0002,P003,2026-02-01,1,1,20,20.0
H0002_P003_202603,H0002,P003,2026-03-01,1,1,51,51.0
H0002_P004_202506,H0002,P004,2025-06-01,1,2,94,47.0
H0002_P004_202509,H0002,P004,2025-09-01,1,3,123,41.0
H0002_P004_202512,H0002,P004,2025-12-01,1,1,52,52.0
H0002_P005_202510,H0002,P005,2025-10-01,1,2,106,53.0
H0002_P005_202511,H0002,P005,2025-11-01,1,1,22,22.0
H0002_P005_202602,H0002,P005,2026-02-01,1,1,47,47.0
H0003_P001_202506,H0003,P001,2025-06-01,1,3,90,30.0
H0003_P001_202507,H0003,P001,2025-07-01,1,1,21,21.0
H0003_P001_202508,H0003,P001,2025-08-01,1,1,39,39.0
H0003_P001_202509,H0003,P001,2025-09-01,1,3,96,32.0
H0003_P001_202510,H0003,P001,2025-10-01,1,2,70,35.0
H0003_P001_202511,H0003,P001,2025-11-01,1,1,47,47.0
H0003_P001_202512,H0003,P001,2025-12-01,1,2,58,29.0
H0003_P001_202601,H0003,P001,2026-01-01,1,1,28,28.0
H0003_P001_202602,H0003,P001,2026-02-01,1,1,26,26.0
H0003_P001_202603,H0003,P001,2026-03-01,1,2,74,37.0
H0003_P002_202508,H0003,P002,2025-08-01,1,2,44,22.0
H0003_P002_202509,H0003,P002,2025-09-01,1,3,141,47.0
H0003_P002_202510,H0003,P002,2025-10-01,1,1,57,57.0
H0003_P002_202511,H0003,P002,2025-11-01,1,1,55,55.0
H0003_P002_202512,H0003,P002,2025-12-01,1,1,53,53.0
H0003_P002_202601,H0003,P002,2026-01-01,1,1,34,34.0
H0003_P002_202603,H0003,P002,2026-03-01,1,2,84,42.0
H0003_P003_202506,H0003,P003,2025-06-01,1,3,63,21.0
H0003_P003_202510,H0003,P003,2025-10-01,1,1,49,49.0
H0003_P003_202601,H0003,P003,2026-01-01,1,1,54,54.0
H0003_P004_202506,H0003,P004,2025-06-01,1,8,248,31.0
H0003_P004_202507,H0003,P004,2025-07-01,1,4,88,22.0
H0003_P004_202508,H0003,P004,2025-08-01,1,5,170,34.0
H0003_P004_202509,H0003,P004,2025-09-01,1,3,90,30.0
H0003_P004_202510,H0003,P004,2025-10-01,1,1,26,26.0
H0003_P004_202511,H0003,P004,2025-11-01,1,1,37,37.0
H0003_P004_202512,H0003,P004,2025-12-01,1,5,175,35.0
H0003_P004_202601,H0003,P004,2026-01-01,1,6,258,43.0
H0003_P004_202602,H0003,P004,2026-02-01,1,1,60,60.0
H0003_P004_202603,H0003,P004,2026-03-01,1,3,123,41.0
H0003_P005_202506,H0003,P005,2025-06-01,1,1,55,55.0
H0003_P005_202507,H0003,P005,2025-07-01,1,2,56,28.0
H0003_P005_202508,H0003,P005,2025-08-01,1,4,112,28.0
H0003_P005_202509,H0003,P005,2025-09-01,1,2,48,24.0
H0003_P005_202510,H0003,P005,2025-10-01,1,2,120,60.0
H0003_P005_202511,H0003,P005,2025-11-01,1,5,235,47.0
H0003_P005_202601,H0003,P005,2026-01-01,1,2,102,51.0
H0003_P005_202603,H0003,P005,2026-03-01,1,1,31,31.0
H0004_P001_202506,H0004,P001,2025-06-01,1,1,40,40.0
H0004_P001_202507,H0004,P001,2025-07-01,1,1,23,23.0
H0004_P001_202508,H0004,P001,2025-08-01,1,2,64,32.0
H0004_P001_202509,H0004,P001,2025-09-01,1,1,30,30.0
H0004_P001_202510,H0004,P001,2025-10-01,1,1,40,40.0
H0004_P001_202512,H0004,P001,2025-12-01,1,1,21,21.0
H0004_P002_202509,H0004,P002,2025-09-01,1,3,72,24.0
H0004_P002_202510,H0004,P002,2025-10-01,1,1,53,53.0
H0004_P002_202512,H0004,P002,2025-12-01,1,1,22,22.0
H0004_P002_202602,H0004,P002,2026-02-01,1,2,114,57.0
H0004_P002_202603,H0004,P002,2026-03-01,1,1,53,53.0
H0004_P003_202508,H0004,P003,2025-08-01,1,1,46,46.0
H0004_P003_202602,H0004,P003,2026-02-01,1,2,116,58.0
H0004_P004_202506,H0004,P004,2025-06-01,1,2,102,51.0
H0004_P004_202507,H0004,P004,2025-07-01,1,3,174,58.0
H0004_P004_202508,H0004,P004,2025-08-01,1,3,96,32.0
H0004_P004_202509,H0004,P004,2025-09-01,1,1,59,59.0
H0004_P004_202601,H0004,P004,2026-01-01,1,2,108,54.0
H0004_P004_202602,H0004,P004,2026-02-01,1,4,116,29.0
H0004_P004_202603,H0004,P004,2026-03-01,1,2,106,53.0
H0004_P005_202507,H0004,P005,2025-07-01,1,1,30,30.0
H0004_P005_202508,H0004,P005,2025-08-01,1,1,41,41.0
H0004_P005_202509,H0004,P005,2025-09-01,1,2,92,46.0
H0004_P005_202511,H0004,P005,2025-11-01,1,1,28,28.0
H0004_P005_202512,H0004,P005,2025-12-01,1,3,135,45.0
H0004_P005_202603,H0004,P005,2026-03-01,1,1,28,28.0
H0005_P001_202506,H0005,P001,2025-06-01,1,2,96,48.0
H0005_P001_202508,H0005,P001,2025-08-01,1,1,45,45.0
H0005_P001_202509,H0005,P001,2025-09-01,1,1,30,30.0
H0005_P001_202510,H0005,P001,2025-10-01,1,1,56,56.0
H0005_P001_202511,H0005,P001,2025-11-01,1,2,88,44.0
H0005_P001_202601,H0005,P001,2026-01-01,1,2,80,40.0
H0005_P001_202603,H0005,P001,2026-03-01,1,1,40,40.0
H0005_P003_202506,H0005,P003,2025-06-01,1,1,36,36.0
H0005_P003_202507,H0005,P003,2025-07-01,1,1,27,27.0
H0005_P003_202511,H0005,P003,2025-11-01,1,1,45,45.0
H0005_P003_202512,H0005,P003,2025-12-01,1,1,43,43.0
H0005_P003_202602,H0005,P003,2026-02-01,1,1,52,52.0
H0005_P003_202603,H0005,P003,2026-03-01,1,1,44,44.0
H0005_P004_202506,H0005,P004,2025-06-01,1,1,37,37.0
H0005_P004_202507,H0005,P004,2025-07-01,1,1,51,51.0
H0005_P004_202508,H0005,P004,2025-08-01,1,1,54,54.0
H0005_P004_202511,H0005,P004,2025-11-01,1,1,35,35.0
H0005_P004_202512,H0005,P004,2025-12-01,1,2,62,31.0
H0005_P004_202601,H0005,P004,2026-01-01,1,3,135,45.0
H0005_P004_202602,H0005,P004,2026-02-01,1,2,60,30.0
H0005_P005_202508,H0005,P005,2025-08-01,1,1,24,24.0
H0005_P005_202510,H0005,P005,2025-10-01,1,1,39,39.0
H0006_P001_202506,H0006,P001,2025-06-01,1,6,144,24.0
H0006_P001_202507,H0006,P001,2025-07-01,1,4,156,39.0
H0006_P001_202508,H0006,P001,2025-08-01,1,3,96,32.0
H0006_P001_202509,H0006,P001,2025-09-01,1,2,110,55.0
H0006_P001_202510,H0006,P001,2025-10-01,1,1,51,51.0
H0006_P001_202511,H0006,P001,2025-11-01,1,5,230,46.0
H0006_P001_202512,H0006,P001,2025-12-01,1,5,170,34.0
H0006_P001_202601,H0006,P001,2026-01-01,1,4,180,45.0
H0006_P001_202602,H0006,P001,2026-02-01,1,3,117,39.0
H0006_P001_202603,H0006,P001,2026-03-01,1,1,49,49.0
H0006_P002_202506,H0006,P002,2025-06-01,1,6,120,20.0
H0006_P002_202507,H0006,P002,2025-07-01,1,2,82,41.0
H0006_P002_202508,H0006,P002,2025-08-01,1,4,204,51.0
H0006_P002_202509,H0006,P002,2025-09-01,1,2,78,39.0
H0006_P002_202510,H0006,P002,2025-10-01,1,3,180,60.0
H0006_P002_202511,H0006,P002,2025-11-01,1,2,120,60.0
H0006_P002_202512,H0006,P002,2025-12-01,1,6,222,37.0
H0006_P002_202601,H0006,P002,2026-01-01,1,3,126,42.0
H0006_P002_202602,H0006,P002,2026-02-01,1,8,448,56.0
H0006_P002_202603,H0006,P002,2026-03-01,1,2,120,60.0
H0006_P003_202506,H0006,P003,2025-06-01,1,2,68,34.0
H0006_P003_202507,H0006,P003,2025-07-01,1,2,94,47.0
H0006_P003_202508,H0006,P003,2025-08-01,1,3,108,36.0
H0006_P003_202509,H0006,P003,2025-09-01,1,7,175,25.0
H0006_P003_202510,H0006,P003,2025-10-01,1,4,228,57.0
H0006_P003_202511,H0006,P003,2025-11-01,1,3,66,22.0
H0006_P003_202512,H0006,P003,2025-12-01,1,3,174,58.0
H0006_P003_202601,H0006,P003,2026-01-01,1,4,132,33.0
H0006_P003_202602,H0006,P003,2026-02-01,1,2,98,49.0
H0006_P003_202603,H0006,P003,2026-03-01,1,8,160,20.0
H0006_P004_202506,H0006,P004,2025-06-01,1,3,60,20.0
H0006_P004_202507,H0006,P004,2025-07-01,1,4,100,25.0
H0006_P004_202508,H0006,P004,2025-08-01,1,4,88,22.0
H0006_P004_202509,H0006,P004,2025-09-01,1,2,90,45.0
H0006_P004_202510,H0006,P004,2025-10-01,1,1,24,24.0
H0006_P004_202511,H0006,P004,2025-11-01,1,3,78,26.0
H0006_P004_202512,H0006,P004,2025-12-01,1,3,93,31.0
H0006_P004_202601,H0006,P004,2026-01-01,1,4,216,54.0
H0006_P004_202602,H0006,P004,2026-02-01,1,2,118,59.0
H0006_P004_202603,H0006,P004,2026-03-01,1,2,82,41.0
H0006_P005_202506,H0006,P005,2025-06-01,1,3,147,49.0
H0006_P005_202507,H0006,P005,2025-07-01,1,2,106,53.0
H0006_P005_202508,H0006,P005,2025-08-01,1,7,182,26.0
H0006_P005_202509,H0006,P005,2025-09-01,1,7,329,47.0
H0006_P005_202510,H0006,P005,2025-10-01,1,4,208,52.0
H0006_P005_202511,H0006,P005,2025-11-01,1,8,368,46.0
H0006_P005_202512,H0006,P005,2025-12-01,1,13,494,38.0
H0006_P005_202601,H0006,P005,2026-01-01,1,9,441,49.0
H0006_P005_202602,H0006,P005,2026-02-01,1,9,252,28.0
H0006_P005_202603,H0006,P005,2026-03-01,1,6,132,22.0
H0007_P001_202506,H0007,P001,2025-06-01,1,8,224,28.0
H0007_P001_202507,H0007,P001,2025-07-01,1,4,112,28.0
H0007_P001_202508,H0007,P001,2025-08-01,1,4,120,30.0
H0007_P001_202509,H0007,P001,2025-09-01,1,3,99,33.0
H0007_P001_202510,H0007,P001,2025-10-01,1,5,125,25.0
H0007_P001_202511,H0007,P001,2025-11-01,1,2,86,43.0
H0007_P001_202512,H0007,P001,2025-12-01,1,10,440,44.0
H0007_P001_202601,H0007,P001,2026-01-01,1,2,106,53.0
H0007_P001_202602,H0007,P001,2026-02-01,1,4,200,50.0
H0007_P001_202603,H0007,P001,2026-03-01,1,2,78,39.0
H0007_P002_202506,H0007,P002,2025-06-01,1,2,54,27.0
H0007_P002_202507,H0007,P002,2025-07-01,1,3,84,28.0
H0007_P002_202508,H0007,P002,2025-08-01,1,1,53,53.0
H0007_P002_202509,H0007,P002,2025-09-01,1,2,64,32.0
H0007_P002_202510,H0007,P002,2025-10-01,1,2,52,26.0
H0007_P002_202512,H0007,P002,2025-12-01,1,2,104,52.0
H0007_P002_202601,H0007,P002,2026-01-01,1,6,216,36.0
H0007_P002_202602,H0007,P002,2026-02-01,1,1,38,38.0
H0007_P002_202603,H0007,P002,2026-03-01,1,3,120,40.0
H0007_P003_202506,H0007,P003,2025-06-01,1,13,377,29.0
H0007_P003_202507,H0007,P003,2025-07-01,1,4,172,43.0
H0007_P003_202508,H0007,P003,2025-08-01,1,12,624,52.0
H0007_P003_202509,H0007,P003,2025-09-01,1,11,341,31.0
H0007_P003_202510,H0007,P003,2025-10-01,1,5,140,28.0
H0007_P003_202511,H0007,P003,2025-11-01,1,14,616,44.0
H0007_P003_202512,H0007,P003,2025-12-01,1,12,468,39.0
H0007_P003_202601,H0007,P003,2026-01-01,1,14,812,58.0
H0007_P003_202602,H0007,P003,2026-02-01,1,10,490,49.0
H0007_P003_202603,H0007,P003,2026-03-01,1,7,168,24.0
H0007_P004_202507,H0007,P004,2025-07-01,1,2,96,48.0
H0007_P004_202508,H0007,P004,2025-08-01,1,3,75,25.0
H0007_P004_202510,H0007,P004,2025-10-01,1,1,39,39.0
H0007_P004_202511,H0007,P004,2025-11-01,1,1,31,31.0
H0007_P004_202512,H0007,P004,2025-12-01,1,1,27,27.0
H0007_P004_202601,H0007,P004,2026-01-01,1,2,98,49.0
H0007_P004_202602,H0007,P004,2026-02-01,1,3,180,60.0
H0007_P004_202603,H0007,P004,2026-03-01,1,2,54,27.0
H0007_P005_202506,H0007,P005,2025-06-01,1,3,87,29.0
H0007_P005_202507,H0007,P005,2025-07-01,1,5,115,23.0
H0007_P005_202508,H0007,P005,2025-08-01,1,3,174,58.0
H0007_P005_202509,H0007,P005,2025-09-01,1,4,152,38.0
H0007_P005_202510,H0007,P005,2025-10-01,1,2,48,24.0
H0007_P005_202511,H0007,P005,2025-11-01,1,5,275,55.0
H0007_P005_202512,H0007,P005,2025-12-01,1,3,72,24.0
H0007_P005_202601,H0007,P005,2026-01-01,1,3,156,52.0
H0007_P005_202602,H0007,P005,2026-02-01,1,3,108,36.0
H0007_P005_202603,H0007,P005,2026-03-01,1,3,147,49.0
H0008_P001_202506,H0008,P001,2025-06-01,1,1,52,52.0
H0008_P001_202512,H0008,P001,2025-12-01,1,3,63,21.0
H0008_P001_202601,H0008,P001,2026-01-01,1,1,33,33.0
H0008_P002_202508,H0008,P002,2025-08-01,1,1,23,23.0
H0008_P002_202509,H0008,P002,2025-09-01,1,1,46,46.0
H0008_P002_202512,H0008,P002,2025-12-01,1,1,54,54.0
H0008_P002_202603,H0008,P002,2026-03-01,1,1,31,31.0
H0008_P004_202507,H0008,P004,2025-07-01,1,2,82,41.0
H0008_P004_202508,H0008,P004,2025-08-01,1,1,54,54.0
H0008_P004_202509,H0008,P004,2025-09-01,1,2,108,54.0
H0008_P004_202510,H0008,P004,2025-10-01,1,2,112,56.0
H0008_P004_202511,H0008,P004,2025-11-01,1,2,88,44.0
H0008_P004_202512,H0008,P004,2025-12-01,1,1,46,46.0
H0008_P004_202601,H0008,P004,2026-01-01,1,1,29,29.0
H0008_P004_202602,H0008,P004,2026-02-01,1,1,27,27.0
H0008_P004_202603,H0008,P004,2026-03-01,1,2,116,58.0
H0009_P001_202506,H0009,P001,2025-06-01,1,1,36,36.0
H0009_P001_202507,H0009,P001,2025-07-01,1,2,60,30.0
H0009_P001_202509,H0009,P001,2025-09-01,1,1,51,51.0
H0009_P001_202510,H0009,P001,2025-10-01,1,3,114,38.0
H0009_P001_202511,H0009,P001,2025-11-01,1,2,100,50.0
H0009_P001_202512,H0009,P001,2025-12-01,1,2,118,59.0
H0009_P001_202601,H0009,P001,2026-01-01,1,2,118,59.0
H0009_P001_202602,H0009,P001,2026-02-01,1,3,177,59.0
H0009_P001_202603,H0009,P001,2026-03-01,1,1,47,47.0
H0009_P003_202507,H0009,P003,2025-07-01,1,1,38,38.0
H0009_P003_202509,H0009,P003,2025-09-01,1,2,112,56.0
H0009_P003_202510,H0009,P003,2025-10-01,1,1,33,33.0
H0009_P003_202512,H0009,P003,2025-12-01,1,2,56,28.0
H0009_P004_202506,H0009,P004,2025-06-01,1,4,212,53.0
H0009_P004_202509,H0009,P004,2025-09-01,1,4,236,59.0
H0009_P004_202510,H0009,P004,2025-10-01,1,1,59,59.0
H0009_P004_202603,H0009,P004,2026-03-01,1,2,46,23.0
H0009_P005_202507,H0009,P005,2025-07-01,1,2,72,36.0
H0009_P005_202509,H0009,P005,2025-09-01,1,3,111,37.0
H0009_P005_202510,H0009,P005,2025-10-01,1,1,33,33.0
H0009_P005_202512,H0009,P005,2025-12-01,1,2,44,22.0
H0009_P005_202601,H0009,P005,2026-01-01,1,2,76,38.0
H0009_P005_202602,H0009,P005,2026-02-01,1,2,112,56.0
H0009_P005_202603,H0009,P005,2026-03-01,1,2,50,25.0
H0010_P001_202506,H0010,P001,2025-06-01,1,1,52,52.0
H0010_P001_202507,H0010,P001,2025-07-01,1,3,144,48.0
H0010_P001_202508,H0010,P001,2025-08-01,1,2,62,31.0
H0010_P001_202509,H0010,P001,2025-09-01,1,2,82,41.0
H0010_P001_202510,H0010,P001,2025-10-01,1,5,255,51.0
H0010_P001_202512,H0010,P001,2025-12-01,1,3,129,43.0
H0010_P001_202601,H0010,P001,2026-01-01,1,3,126,42.0
H0010_P001_202602,H0010,P001,2026-02-01,1,2,42,21.0
H0010_P001_202603,H0010,P001,2026-03-01,1,2,72,36.0
H0010_P002_202510,H0010,P002,2025-10-01,1,1,22,22.0
H0010_P002_202601,H0010,P002,2026-01-01,1,3,111,37.0
H0010_P002_202602,H0010,P002,2026-02-01,1,1,41,41.0
H0010_P003_202506,H0010,P003,2025-06-01,1,1,29,29.0
H0010_P003_202508,H0010,P003,2025-08-01,1,1,49,49.0
H0010_P003_202509,H0010,P003,2025-09-01,1,2,106,53.0
H0010_P003_202510,H0010,P003,2025-10-01,1,3,114,38.0
H0010_P003_202511,H0010,P003,2025-11-01,1,1,55,55.0
H0010_P003_202602,H0010,P003,2026-02-01,1,1,27,27.0
H0010_P004_202506,H0010,P004,2025-06-01,1,2,84,42.0
H0010_P004_202507,H0010,P004,2025-07-01,1,3,114,38.0
H0010_P004_202510,H0010,P004,2025-10-01,1,1,41,41.0
H0010_P004_202511,H0010,P004,2025-11-01,1,2,68,34.0
H0010_P004_202512,H0010,P004,2025-12-01,1,1,36,36.0
H0010_P004_202602,H0010,P004,2026-02-01,1,2,118,59.0
H0010_P004_202603,H0010,P004,2026-03-01,1,2,112,56.0
H0010_P005_202506,H0010,P005,2025-06-01,1,1,28,28.0
H0010_P005_202507,H0010,P005,2025-07-01,1,2,100,50.0
H0010_P005_202508,H0010,P005,2025-08-01,1,1,48,48.0
H0010_P005_202509,H0010,P005,2025-09-01,1,4,228,57.0
H0010_P005_202510,H0010,P005,2025-10-01,1,1,59,59.0
H0010_P005_202511,H0010,P005,2025-11-01,1,2,86,43.0
H0010_P005_202512,H0010,P005,2025-12-01,1,2,76,38.0
H0010_P005_202601,H0010,P005,2026-01-01,1,1,28,28.0
H0010_P005_202602,H0010,P005,2026-02-01,1,1,22,22.0
H0010_P005_202603,H0010,P005,2026-03-01,1,3,87,29.0
H0011_P001_202506,H0011,P001,2025-06-01,1,2,118,59.0
H0011_P001_202507,H0011,P001,2025-07-01,1,1,42,42.0
H0011_P001_202508,H0011,P001,2025-08-01,1,3,126,42.0
H0011_P001_202509,H0011,P001,2025-09-01,1,1,49,49.0
H0011_P001_202511,H0011,P001,2025-11-01,1,2,60,30.0
H0011_P001_202602,H0011,P001,2026-02-01,1,2,70,35.0
H0011_P001_202603,H0011,P001,2026-03-01,1,2,60,30.0
H0011_P002_202506,H0011,P002,2025-06-01,1,1,56,56.0
H0011_P002_202507,H0011,P002,2025-07-01,1,2,98,49.0
H0011_P002_202508,H0011,P002,2025-08-01,1,5,205,41.0
H0011_P002_202509,H0011,P002,2025-09-01,1,3,99,33.0
H0011_P002_202510,H0011,P002,2025-10-01,1,2,58,29.0
H0011_P002_202511,H0011,P002,2025-11-01,1,1,39,39.0
H0011_P002_202601,H0011,P002,2026-01-01,1,3,90,30.0
H0011_P002_202602,H0011,P002,2026-02-01,1,5,190,38.0
H0011_P002_202603,H0011,P002,2026-03-01,1,3,180,60.0
H0011_P003_202506,H0011,P003,2025-06-01,1,1,29,29.0
H0011_P003_202507,H0011,P003,2025-07-01,1,1,20,20.0
H0011_P003_202509,H0011,P003,2025-09-01,1,3,180,60.0
H0011_P003_202510,H0011,P003,2025-10-01,1,1,58,58.0
H0011_P003_202512,H0011,P003,2025-12-01,1,1,46,46.0
H0011_P003_202601,H0011,P003,2026-01-01,1,1,30,30.0
H0011_P003_202602,H0011,P003,2026-02-01,1,1,40,40.0
H0011_P004_202512,H0011,P004,2025-12-01,1,1,60,60.0
H0011_P004_202601,H0011,P004,2026-01-01,1,1,35,35.0
H0011_P004_202602,H0011,P004,2026-02-01,1,1,41,41.0
H0011_P004_202603,H0011,P004,2026-03-01,1,1,30,30.0
H0011_P005_202507,H0011,P005,2025-07-01,1,2,120,60.0
H0011_P005_202508,H0011,P005,2025-08-01,1,1,25,25.0
H0011_P005_202510,H0011,P005,2025-10-01,1,1,43,43.0
H0011_P005_202602,H0011,P005,2026-02-01,1,2,114,57.0
H0012_P001_202506,H0012,P001,2025-06-01,1,3,138,46.0
H0012_P001_202507,H0012,P001,2025-07-01,1,4,192,48.0
H0012_P001_202508,H0012,P001,2025-08-01,1,4,144,36.0
H0012_P001_202509,H0012,P001,2025-09-01,1,3,141,47.0
H0012_P001_202510,H0012,P001,2025-10-01,1,6,354,59.0
H0012_P001_202511,H0012,P001,2025-11-01,1,4,96,24.0
H0012_P001_202512,H0012,P001,2025-12-01,1,2,112,56.0
H0012_P001_202601,H0012,P001,2026-01-01,1,1,46,46.0
H0012_P001_202602,H0012,P001,2026-02-01,1,5,225,45.0
H0012_P001_202603,H0012,P001,2026-03-01,1,4,128,32.0
H0012_P002_202506,H0012,P002,2025-06-01,1,3,156,52.0
H0012_P002_202508,H0012,P002,2025-08-01,1,2,104,52.0
H0012_P002_202509,H0012,P002,2025-09-01,1,2,104,52.0
H0012_P002_202510,H0012,P002,2025-10-01,1,3,135,45.0
H0012_P002_202511,H0012,P002,2025-11-01,1,3,87,29.0
H0012_P002_202512,H0012,P002,2025-12-01,1,1,42,42.0
H0012_P002_202601,H0012,P002,2026-01-01,1,1,52,52.0
H0012_P002_202602,H0012,P002,2026-02-01,1,2,78,39.0
H0012_P002_202603,H0012,P002,2026-03-01,1,2,56,28.0
H0012_P003_202506,H0012,P003,2025-06-01,1,2,64,32.0
H0012_P003_202507,H0012,P003,2025-07-01,1,3,108,36.0
H0012_P003_202508,H0012,P003,2025-08-01,1,3,84,28.0
H0012_P003_202509,H0012,P003,2025-09-01,1,2,78,39.0
H0012_P003_202510,H0012,P003,2025-10-01,1,4,156,39.0
H0012_P003_202511,H0012,P003,2025-11-01,1,2,56,28.0
H0012_P003_202512,H0012,P003,2025-12-01,1,4,120,30.0
H0012_P003_202601,H0012,P003,2026-01-01,1,1,56,56.0
H0012_P003_202602,H0012,P003,2026-02-01,1,5,290,58.0
H0012_P004_202507,H0012,P004,2025-07-01,1,3,84,28.0
H0012_P004_202508,H0012,P004,2025-08-01,1,1,38,38.0
H0012_P004_202511,H0012,P004,2025-11-01,1,1,38,38.0
H0012_P004_202601,H0012,P004,2026-01-01,1,4,84,21.0
H0012_P004_202603,H0012,P004,2026-03-01,1,3,72,24.0
H0012_P005_202506,H0012,P005,2025-06-01,1,4,116,29.0
H0012_P005_202507,H0012,P005,2025-07-01,1,5,140,28.0
H0012_P005_202508,H0012,P005,2025-08-01,1,4,124,31.0
H0012_P005_202509,H0012,P005,2025-09-01,1,8,312,39.0
H0012_P005_202510,H0012,P005,2025-10-01,1,5,280,56.0
H0012_P005_202511,H0012,P005,2025-11-01,1,2,68,34.0
H0012_P005_202601,H0012,P005,2026-01-01,1,1,60,60.0
H0012_P005_202602,H0012,P005,2026-02-01,1,7,140,20.0
H0012_P005_202603,H0012,P005,2026-03-01,1,6,234,39.0
H0013_P001_202506,H0013,P001,2025-06-01,1,1,26,26.0
H0013_P001_202507,H0013,P001,2025-07-01,1,1,54,54.0
H0013_P001_202508,H0013,P001,2025-08-01,1,2,52,26.0
H0013_P001_202510,H0013,P001,2025-10-01,1,2,86,43.0
H0013_P001_202511,H0013,P001,2025-11-01,1,1,23,23.0
H0013_P001_202601,H0013,P001,2026-01-01,1,1,38,38.0
H0013_P001_202603,H0013,P001,2026-03-01,1,2,114,57.0
H0013_P002_202506,H0013,P002,2025-06-01,1,1,26,26.0
H0013_P002_202511,H0013,P002,2025-11-01,1,1,35,35.0
H0013_P002_202601,H0013,P002,2026-01-01,1,1,37,37.0
H0013_P003_202506,H0013,P003,2025-06-01,1,2,108,54.0
