hcp_id,hcp_name,specialty,segment,territory,region,total_calls,average_call_duration,total_samples_received,last_call_date,total_prescriptions,total_units_dispensed,product_breadth,days_since_last_call,prescriptions_per_call
H0042,Dr. HCP_0042,Neurologist,B,West-2,West,16.0,25.6875,47.0,2026-03-30,60.0,2451.0,5.0,31.0,3.75
H0043,Dr. HCP_0043,General Physician,A,Central-2,Central,15.0,18.666666666666668,56.0,2026-03-29,102.0,3964.0,5.0,32.0,6.8
H0044,Dr. HCP_0044,Pulmonologist,C,Central-1,Central,46.0,21.782608695652176,192.0,2026-04-22,61.0,2352.0,5.0,8.0,1.33
H0045,Dr. HCP_0045,Pulmonologist,B,South-1,South,33.0,19.90909090909091,125.0,2026-04-10,132.0,4893.0,5.0,20.0,4.0
H0046,Dr. HCP_0046,General Physician,B,North-2,North,52.0,22.826923076923077,222.0,2026-04-19,243.0,10210.0,5.0,11.0,4.67
H0047,Dr. HCP_0047,Pulmonologist,B,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0048,Dr. HCP_0048,Endocrinologist,B,East-2,East,9.0,22.555555555555557,41.0,2026-04-05,39.0,1669.0,4.0,25.0,4.33
H0049,Dr. HCP_0049,Oncologist,B,Central-1,Central,42.0,20.476190476190474,165.0,2026-04-26,190.0,7334.0,5.0,4.0,4.52
H0050,Dr. HCP_0050,Cardiologist,A,North-1,North,27.0,18.555555555555557,106.0,2026-04-23,155.0,6072.0,5.0,7.0,5.74
H0051,Dr. HCP_0051,Cardiologist,C,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0052,Dr. HCP_0052,Endocrinologist,C,East-2,East,19.0,22.789473684210527,65.0,2026-04-30,30.0,1229.0,5.0,0.0,1.58
H0053,Dr. HCP_0053,General Physician,C,South-1,South,37.0,19.18918918918919,173.0,2026-04-15,55.0,2201.0,5.0,15.0,1.49
H0054,Dr. HCP_0054,General Physician,C,Central-1,Central,54.0,20.555555555555557,232.0,2026-04-13,91.0,3720.0,5.0,17.0,1.69
H0055,Dr. HCP_0055,Cardiologist,B,Central-1,Central,55.0,20.163636363636364,231.0,2026-04-30,218.0,8181.0,5.0,0.0,3.96
H0056,Dr. HCP_0056,General Physician,C,North-2,North,75.0,20.573333333333334,316.0,2026-04-18,87.0,3510.0,5.0,12.0,1.16
H0057,Dr. HCP_0057,Cardiologist,A,Central-1,Central,18.0,19.38888888888889,66.0,2026-04-29,131.0,5653.0,5.0,1.0,7.28
H0058,Dr. HCP_0058,Neurologist,A,Central-2,Central,10.0,21.0,31.0,2026-03-31,46.0,1695.0,4.0,30.0,4.6
H0059,Dr. HCP_0059,Endocrinologist,A,West-1,West,16.0,22.3125,50.0,2026-04-14,156.0,6077.0,4.0,16.0,9.75
H0060,Dr. HCP_0060,Pulmonologist,B,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0061,Dr. HCP_0061,Endocrinologist,B,East-2,East,12.0,16.333333333333332,41.0,2026-03-25,55.0,2218.0,5.0,36.0,4.58
H0062,Dr. HCP_0062,Pulmonologist,B,North-2,North,50.0,20.4,245.0,2026-04-22,147.0,5430.0,5.0,8.0,2.94
H0063,Dr. HCP_0063,General Physician,C,Central-2,Central,16.0,22.0,70.0,2026-04-20,16.0,675.0,3.0,10.0,1.0
H0064,Dr. HCP_0064,Endocrinologist,B,South-2,South,67.0,18.70149253731343,242.0,2026-04-30,227.0,9133.0,5.0,0.0,3.39
H0065,Dr. HCP_0065,Cardiologist,B,West-1,West,15.0,18.0,46.0,2026-04-17,58.0,2250.0,5.0,13.0,3.87
H0066,Dr. HCP_0066,Oncologist,B,East-2,East,16.0,20.8125,71.0,2026-04-27,71.0,2706.0,4.0,3.0,4.44
H0067,Dr. HCP_0067,Endocrinologist,A,East-1,East,0.0,0.0,0.0,,3.0,94.0,1.0,,
H0068,Dr. HCP_0068,Cardiologist,C,West-1,West,19.0,21.736842105263158,75.0,2026-04-15,19.0,730.0,5.0,15.0,1.0
H0069,Dr. HCP_0069,Endocrinologist,A,South-2,South,27.0,21.51851851851852,129.0,2026-04-12,266.0,11359.0,5.0,18.0,9.85
H0070,Dr. HCP_0070,Pulmonologist,C,East-2,East,24.0,20.666666666666668,90.0,2026-04-22,38.0,1373.0,5.0,8.0,1.58
H0071,Dr. HCP_0071,Cardiologist,C,South-2,South,83.0,20.096385542168676,319.0,2026-04-27,101.0,3768.0,5.0,3.0,1.22
H0072,Dr. HCP_0072,Pulmonologist,A,West-1,West,11.0,23.545454545454547,46.0,2026-04-23,80.0,3048.0,5.0,7.0,7.27
H0073,Dr. HCP_0073,Pulmonologist,A,North-2,North,16.0,21.125,82.0,2026-04-22,63.0,2669.0,5.0,8.0,3.94
H0074,Dr. HCP_0074,Oncologist,C,Central-1,Central,56.0,19.017857142857142,244.0,2026-04-24,86.0,3640.0,5.0,6.0,1.54
H0075,Dr. HCP_0075,Cardiologist,C,North-1,North,50.0,19.88,190.0,2026-04-30,72.0,2938.0,5.0,0.0,1.44
H0076,Dr. HCP_0076,Neurologist,C,South-1,South,39.0,18.71794871794872,161.0,2026-04-19,77.0,2992.0,5.0,11.0,1.97
H0077,Dr. HCP_0077,Cardiologist,C,North-1,North,53.0,22.07547169811321,213.0,2026-04-30,78.0,3065.0,5.0,0.0,1.47
H0078,Dr. HCP_0078,General Physician,A,East-2,East,8.0,18.375,24.0,2026-04-07,89.0,4028.0,5.0,23.0,11.12
H0079,Dr. HCP_0079,Neurologist,B,West-1,West,21.0,19.476190476190474,79.0,2026-04-18,93.0,3779.0,5.0,12.0,4.43
H0080,Dr. HCP_0080,Neurologist,A,West-1,West,5.0,19.6,22.0,2026-04-21,25.0,849.0,3.0,9.0,5.0
H0081,Dr. HCP_0081,Cardiologist,C,East-1,East,0.0,0.0,0.0,,4.0,163.0,1.0,,
H0082,Dr. HCP_0082,Neurologist,B,North-1,North,45.0,22.355555555555554,172.0,2026-04-27,220.0,8939.0,5.0,3.0,4.89
H0083,Dr. HCP_0083,Oncologist,B,East-2,East,11.0,22.181818181818183,57.0,2026-03-29,24.0,923.0,5.0,32.0,2.18
H0084,Dr. HCP_0084,Neurologist,A,East-2,East,7.0,23.285714285714285,26.0,2026-04-03,47.0,1935.0,5.0,27.0,6.71
H0085,Dr. HCP_0085,General Physician,B,North-2,North,44.0,20.772727272727273,182.0,2026-04-20,177.0,7424.0,5.0,10.0,4.02
H0086,Dr. HCP_0086,Pulmonologist,B,Central-1,Central,43.0,21.58139534883721,174.0,2026-04-11,173.0,6835.0,5.0,19.0,4.02
H0087,Dr. HCP_0087,Oncologist,C,East-2,East,15.0,25.4,48.0,2026-04-15,28.0,1018.0,4.0,15.0,1.87
H0088,Dr. HCP_0088,Endocrinologist,B,Central-1,Central,32.0,19.46875,131.0,2026-04-27,60.0,2545.0,5.0,3.0,1.88
H0089,Dr. HCP_0089,General Physician,C,West-1,West,23.0,20.347826086956523,103.0,2026-04-15,43.0,1770.0,5.0,15.0,1.87
H0090,Dr. HCP_0090,Neurologist,B,South-1,South,20.0,19.05,69.0,2026-04-17,79.0,3137.0,5.0,13.0,3.95
H0091,Dr. HCP_0091,Neurologist,A,West-1,West,8.0,17.125,36.0,2026-03-19,41.0,1715.0,5.0,42.0,5.12
H0092,Dr. HCP_0092,Pulmonologist,C,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0093,Dr. HCP_0093,Neurologist,C,West-1,West,22.0,18.772727272727273,66.0,2026-04-20,24.0,983.0,5.0,10.0,1.09
H0094,Dr. HCP_0094,Oncologist,B,West-2,West,10.0,20.8,44.0,2026-04-21,42.0,1610.0,4.0,9.0,4.2
H0095,Dr. HCP_0095,Neurologist,C,South-2,South,78.0,19.46153846153846,296.0,2026-04-26,121.0,4590.0,5.0,4.0,1.55
H0096,Dr. HCP_0096,General Physician,B,South-1,South,34.0,20.735294117647058,144.0,2026-04-23,205.0,7946.0,5.0,7.0,6.03
H0097,Dr. HCP_0097,Neurologist,B,East-1,East,0.0,0.0,0.0,,11.0,430.0,2.0,,
H0098,Dr. HCP_0098,Endocrinologist,B,North-2,North,47.0,20.404255319148938,162.0,2026-04-29,161.0,6197.0,5.0,1.0,3.43
H0099,Dr. HCP_0099,Endocrinologist,A,South-2,South,24.0,21.375,85.0,2026-04-30,211.0,8429.0,5.0,0.0,8.79
H0100,Dr. HCP_0100,Cardiologist,A,North-1,North,19.0,19.526315789473685,54.0,2026-04-09,140.0,5212.0,5.0,21.0,7.37
H0101,Dr. HCP_0101,Neurologist,A,West-2,West,7.0,25.285714285714285,28.0,2026-04-18,44.0,1815.0,5.0,12.0,6.29
H0102,Dr. HCP_0102,Oncologist,B,West-2,West,18.0,19.77777777777778,64.0,2026-03-09,84.0,3083.0,5.0,52.0,4.67
H0103,Dr. HCP_0103,Oncologist,B,West-1,West,19.0,15.105263157894736,87.0,2026-04-28,69.0,2737.0,5.0,2.0,3.63
H0104,Dr. HCP_0104,Endocrinologist,B,South-2,South,41.0,20.0,139.0,2026-04-24,127.0,4959.0,5.0,6.0,3.1
H0105,Dr. HCP_0105,Oncologist,C,North-2,North,64.0,20.96875,245.0,2026-04-22,85.0,3361.0,5.0,8.0,1.33
H0106,Dr. HCP_0106,General Physician,B,South-1,South,30.0,19.7,118.0,2026-04-27,73.0,2683.0,5.0,3.0,2.43
H0107,Dr. HCP_0107,Neurologist,B,North-1,North,47.0,18.93617021276596,179.0,2026-04-29,183.0,7385.0,5.0,1.0,3.89
H0108,Dr. HCP_0108,Oncologist,C,North-2,North,57.0,20.68421052631579,220.0,2026-04-15,93.0,3821.0,5.0,15.0,1.63
H0109,Dr. HCP_0109,General Physician,B,West-2,West,15.0,20.333333333333332,68.0,2026-04-21,62.0,2402.0,5.0,9.0,4.13
H0110,Dr. HCP_0110,Neurologist,A,West-2,West,11.0,19.272727272727273,44.0,2026-04-11,59.0,2263.0,5.0,19.0,5.36
H0111,Dr. HCP_0111,Oncologist,B,Central-1,Central,43.0,21.511627906976745,166.0,2026-04-26,91.0,3839.0,5.0,4.0,2.12
H0112,Dr. HCP_0112,Oncologist,A,West-2,West,11.0,22.09090909090909,40.0,2025-12-18,101.0,4227.0,5.0,133.0,9.18
H0113,Dr. HCP_0113,General Physician,C,South-2,South,98.0,20.918367346938776,375.0,2026-04-26,113.0,4323.0,5.0,4.0,1.15
H0114,Dr. HCP_0114,Oncologist,C,Central-1,Central,60.0,19.35,221.0,2026-04-23,123.0,4603.0,5.0,7.0,2.05
H0115,Dr. HCP_0115,Oncologist,B,East-1,East,0.0,0.0,0.0,,3.0,77.0,1.0,,
H0116,Dr. HCP_0116,Endocrinologist,C,East-1,East,0.0,0.0,0.0,,4.0,140.0,1.0,,
H0117,Dr. HCP_0117,Pulmonologist,C,East-2,East,18.0,19.38888888888889,71.0,2026-04-19,30.0,1313.0,5.0,11.0,1.67
H0118,Dr. HCP_0118,Endocrinologist,A,South-1,South,14.0,20.642857142857142,48.0,2026-04-21,85.0,3136.0,5.0,9.0,6.07
H0119,Dr. HCP_0119,General Physician,C,West-1,West,27.0,17.62962962962963,119.0,2026-04-27,42.0,1671.0,5.0,3.0,1.56
H0120,Dr. HCP_0120,Cardiologist,B,South-2,South,64.0,22.125,274.0,2026-04-28,294.0,11246.0,5.0,2.0,4.59
H0121,Dr. HCP_0121,Pulmonologist,C,West-1,West,30.0,22.066666666666666,128.0,2026-04-17,44.0,1816.0,5.0,13.0,1.47
H0122,Dr. HCP_0122,Cardiologist,C,West-1,West,24.0,18.208333333333332,116.0,2026-04-04,27.0,1026.0,5.0,26.0,1.12
H0123,Dr. HCP_0123,Oncologist,B,West-1,West,16.0,16.0,68.0,2026-04-30,58.0,2157.0,5.0,0.0,3.62
H0124,Dr. HCP_0124,Oncologist,A,Central-2,Central,4.0,25.5,24.0,2026-03-04,22.0,930.0,3.0,57.0,5.5
H0125,Dr. HCP_0125,Pulmonologist,B,North-1,North,32.0,18.875,130.0,2026-04-20,110.0,4273.0,5.0,10.0,3.44
H0126,Dr. HCP_0126,Oncologist,B,West-1,West,18.0,20.88888888888889,73.0,2026-04-10,54.0,2319.0,5.0,20.0,3.0
H0127,Dr. HCP_0127,Endocrinologist,C,West-2,West,28.0,19.714285714285715,136.0,2026-04-26,57.0,2168.0,5.0,4.0,2.04
H0128,Dr. HCP_0128,Oncologist,C,West-1,West,28.0,19.071428571428573,96.0,2026-04-28,48.0,1767.0,5.0,2.0,1.71
H0129,Dr. HCP_0129,Pulmonologist,A,West-1,West,8.0,21.375,39.0,2026-04-21,60.0,2513.0,5.0,9.0,7.5
H0130,Dr. HCP_0130,Oncologist,B,South-1,South,36.0,22.11111111111111,139.0,2026-04-18,161.0,6415.0,5.0,12.0,4.47
H0131,Dr. HCP_0131,Neurologist,B,Central-2,Central,11.0,18.545454545454547,52.0,2026-03-05,36.0,1549.0,5.0,56.0,3.27
H0132,Dr. HCP_0132,Neurologist,B,West-1,West,16.0,19.375,78.0,2026-04-29,71.0,2805.0,4.0,1.0,4.44
H0133,Dr. HCP_0133,General Physician,A,North-2,North,29.0,19.0,112.0,2026-04-24,297.0,11596.0,5.0,6.0,10.24
H0134,Dr. HCP_0134,Oncologist,B,South-1,South,28.0,19.75,121.0,2026-04-28,59.0,2233.0,5.0,2.0,2.11
H0135,Dr. HCP_0135,Pulmonologist,C,North-1,North,70.0,20.214285714285715,292.0,2026-04-29,142.0,5823.0,5.0,1.0,2.03
H0136,Dr. HCP_0136,Endocrinologist,B,East-2,East,12.0,23.916666666666668,40.0,2026-01-25,27.0,1102.0,5.0,95.0,2.25
H0137,Dr. HCP_0137,Pulmonologist,B,East-2,East,14.0,18.857142857142858,54.0,2026-04-04,45.0,1677.0,5.0,26.0,3.21
H0138,Dr. HCP_0138,Oncologist,C,East-1,East,0.0,0.0,0.0,,9.0,349.0,2.0,,
H0139,Dr. HCP_0139,Oncologist,B,North-2,North,45.0,18.11111111111111,178.0,2026-04-27,118.0,5026.0,5.0,3.0,2.62
H0140,Dr. HCP_0140,Cardiologist,C,Central-1,Central,75.0,19.186666666666667,314.0,2026-04-29,98.0,3660.0,5.0,1.0,1.31
H0141,Dr. HCP_0141,General Physician,C,South-2,South,71.0,18.6056338028169,313.0,2026-04-13,93.0,3576.0,5.0,17.0,1.31
H0142,Dr. HCP_0142,Cardiologist,B,North-1,North,38.0,20.13157894736842,164.0,2026-04-25,130.0,5146.0,5.0,5.0,3.42
H0143,Dr. HCP_0143,Cardiologist,B,South-2,South,68.0,18.5,282.0,2026-04-30,289.0,11853.0,5.0,0.0,4.25
H0144,Dr. HCP_0144,Endocrinologist,B,South-2,South,76.0,21.105263157894736,317.0,2026-04-24,288.0,10910.0,5.0,6.0,3.79
H0145,Dr. HCP_0145,Neurologist,B,North-2,North,40.0,18.825,151.0,2026-04-27,210.0,8366.0,5.0,3.0,5.25
H0146,Dr. HCP_0146,General Physician,A,West-2,West,9.0,20.444444444444443,32.0,2026-04-06,63.0,2720.0,4.0,24.0,7.0
H0147,Dr. HCP_0147,Endocrinologist,B,East-2,East,12.0,23.333333333333332,50.0,2026-04-16,58.0,2170.0,4.0,14.0,4.83
H0148,Dr. HCP_0148,Pulmonologist,B,South-1,South,38.0,20.92105263157895,153.0,2026-04-01,169.0,6333.0,5.0,29.0,4.45
H0149,Dr. HCP_0149,Cardiologist,A,Central-2,Central,3.0,20.333333333333332,13.0,2026-01-26,23.0,935.0,3.0,94.0,7.67
H0150,Dr. HCP_0150,General Physician,B,Central-2,Central,12.0,21.166666666666668,31.0,2026-04-29,51.0,2149.0,4.0,1.0,4.25
H0151,Dr. HCP_0151,General Physician,C,West-1,West,17.0,21.647058823529413,58.0,2026-04-29,30.0,1222.0,4.0,1.0,1.76
H0152,Dr. HCP_0152,Neurologist,B,North-2,North,43.0,20.674418604651162,152.0,2026-04-28,138.0,5914.0,5.0,2.0,3.21
H0153,Dr. HCP_0153,General Physician,A,North-2,North,23.0,20.17391304347826,77.0,2026-04-05,152.0,5741.0,5.0,25.0,6.61
H0154,Dr. HCP_0154,Cardiologist,B,Central-2,Central,15.0,20.133333333333333,62.0,2026-03-30,56.0,2365.0,5.0,31.0,3.73
H0155,Dr. HCP_0155,Neurologist,C,East-2,East,22.0,20.863636363636363,105.0,2026-04-27,29.0,1173.0,5.0,3.0,1.32
H0156,Dr. HCP_0156,Cardiologist,B,East-2,East,19.0,19.94736842105263,65.0,2026-04-07,67.0,2875.0,5.0,23.0,3.53
H0157,Dr. HCP_0157,Oncologist,B,North-1,North,29.0,19.275862068965516,122.0,2026-04-26,84.0,3595.0,5.0,4.0,2.9
H0158,Dr. HCP_0158,Oncologist,C,North-2,North,76.0,21.644736842105264,245.0,2026-04-28,126.0,4977.0,5.0,2.0,1.66
H0159,Dr. HCP_0159,General Physician,B,West-2,West,17.0,23.058823529411764,62.0,2026-04-27,40.0,1545.0,5.0,3.0,2.35
H0160,Dr. HCP_0160,Endocrinologist,C,West-1,West,38.0,22.0,165.0,2026-04-30,35.0,1313.0,5.0,0.0,0.92
H0161,Dr. HCP_0161,Neurologist,B,Central-2,Central,16.0,22.8125,70.0,2026-04-28,46.0,1784.0,5.0,2.0,2.88
H0162,Dr. HCP_0162,Oncologist,B,West-2,West,17.0,21.705882352941178,51.0,2026-04-23,63.0,2267.0,5.0,7.0,3.71
H0163,Dr. HCP_0163,Endocrinologist,B,East-2,East,14.0,19.0,63.0,2026-04-24,63.0,2741.0,5.0,6.0,4.5
H0164,Dr. HCP_0164,Oncologist,B,East-1,East,0.0,0.0,0.0,,4.0,168.0,1.0,,
H0165,Dr. HCP_0165,Neurologist,A,West-2,West,5.0,26.4,26.0,2026-04-22,39.0,1496.0,4.0,8.0,7.8
H0166,Dr. HCP_0166,Cardiologist,C,East-2,East,18.0,19.444444444444443,70.0,2026-04-27,29.0,1165.0,5.0,3.0,1.61
H0167,Dr. HCP_0167,Endocrinologist,B,East-2,East,11.0,19.727272727272727,34.0,2026-04-17,25.0,1125.0,4.0,13.0,2.27
H0168,Dr. HCP_0168,Pulmonologist,A,South-2,South,24.0,22.541666666666668,91.0,2026-04-25,175.0,6778.0,5.0,5.0,7.29
H0169,Dr. HCP_0169,Pulmonologist,A,East-2,East,11.0,21.272727272727273,53.0,2026-04-25,89.0,3882.0,4.0,5.0,8.09
H0170,Dr. HCP_0170,Cardiologist,B,Central-1,Central,34.0,20.08823529411765,153.0,2026-04-21,125.0,4825.0,5.0,9.0,3.68
H0171,Dr. HCP_0171,Endocrinologist,B,North-2,North,49.0,21.755102040816325,204.0,2026-04-16,174.0,7062.0,5.0,14.0,3.55
H0172,Dr. HCP_0172,Neurologist,A,West-2,West,6.0,17.333333333333332,25.0,2026-04-24,55.0,2329.0,3.0,6.0,9.17
H0173,Dr. HCP_0173,General Physician,B,West-2,West,19.0,17.36842105263158,87.0,2026-03-28,89.0,3532.0,5.0,33.0,4.68
H0174,Dr. HCP_0174,Cardiologist,B,West-2,West,18.0,21.333333333333332,79.0,2026-04-18,63.0,2672.0,5.0,12.0,3.5
H0175,Dr. HCP_0175,Endocrinologist,B,East-1,East,0.0,0.0,0.0,,4.0,152.0,2.0,,
H0176,Dr. HCP_0176,Pulmonologist,A,South-2,South,37.0,18.18918918918919,149.0,2026-04-21,264.0,9444.0,5.0,9.0,7.14
H0177,Dr. HCP_0177,Neurologist,B,West-2,West,15.0,18.066666666666666,42.0,2026-04-23,68.0,2726.0,4.0,7.0,4.53
H0178,Dr. HCP_0178,General Physician,B,West-1,West,8.0,20.0,33.0,2026-03-21,23.0,827.0,4.0,40.0,2.88
H0179,Dr. HCP_0179,General Physician,C,East-2,East,17.0,20.58823529411765,65.0,2026-04-29,20.0,776.0,4.0,1.0,1.18
H0180,Dr. HCP_0180,Pulmonologist,A,East-1,East,0.0,0.0,0.0,,2.0,75.0,1.0,,
H0181,Dr. HCP_0181,Cardiologist,B,South-2,South,54.0,21.444444444444443,232.0,2026-04-30,262.0,10330.0,5.0,0.0,4.85
H0182,Dr. HCP_0182,Cardiologist,A,East-2,East,12.0,18.0,54.0,2026-04-18,79.0,3086.0,5.0,12.0,6.58
H0183,Dr. HCP_0183,Endocrinologist,C,South-2,South,84.0,18.726190476190474,360.0,2026-04-20,106.0,3997.0,5.0,10.0,1.26
H0184,Dr. HCP_0184,General Physician,C,East-1,East,0.0,0.0,0.0,,5.0,246.0,1.0,,
H0185,Dr. HCP_0185,Endocrinologist,B,North-2,North,51.0,21.58823529411765,199.0,2026-04-24,180.0,7299.0,5.0,6.0,3.53
H0186,Dr. HCP_0186,Pulmonologist,B,South-2,South,45.0,19.666666666666668,137.0,2026-04-23,194.0,7939.0,5.0,7.0,4.31
H0187,Dr. HCP_0187,Cardiologist,C,East-1,East,0.0,0.0,0.0,,9.0,429.0,2.0,,
H0188,Dr. HCP_0188,Cardiologist,B,East-1,East,0.0,0.0,0.0,,0.0,0.0,0.0,,
H0189,Dr. HCP_0189,Pulmonologist,B,Central-1,Central,40.0,19.675,164.0,2026-04-22,181.0,7222.0,5.0,8.0,4.53
H0190,Dr. HCP_0190,Cardiologist,B,West-2,West,19.0,17.526315789473685,95.0,2026-04-28,89.0,3245.0,5.0,2.0,4.68
H0191,Dr. HCP_0191,Pulmonologist,A,Central-2,Central,4.0,21.0,3.0,2026-02-01,24.0,995.0,4.0,88.0,6.0
H0192,Dr. HCP_0192,Oncologist,C,West-2,West,18.0,21.88888888888889,88.0,2026-04-30,19.0,719.0,5.0,0.0,1.06
H0193,Dr. HCP_0193,Cardiologist,C,South-1,South,48.0,20.166666666666668,168.0,2026-04-20,76.0,3180.0,5.0,10.0,1.58
